"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-03-31,"94704","CA","San Francisco","Alameda","Berkeley",5271,3153,0.00896,0.0392221489782465,0.234534064212999,2059
2016-03-31,"98532","WA","Centralia","Lewis","Chehalis",5272,1140,0.00706713780918728,0.0196779964221825,0.0430009149130833,7160
2016-03-31,"03833","NH","Boston","Rockingham","Town of Exeter",5273,1817,-0.00710382513661202,-0.0345377258235919,-0.00601750547045952,7683
2016-03-31,"14228","NY","Buffalo","Erie","Amherst",5274,1477,0.0137268359643102,0.0193236714975845,0.0264072272411397,5515
2016-03-31,"31903","GA","Columbus","Muscogee","Columbus",5275,603,-0.00495049504950495,-0.00985221674876847,0.011744966442953,5612
2016-03-31,"84094","UT","Salt Lake City","Salt Lake","Sandy",5276,1470,0.00204498977505112,0.00068073519400953,0.0337552742616034,9410
2016-03-31,"02905","RI","Providence","Providence","Providence",5277,1472,0.0116838487972509,0.0123796423658872,0.0760233918128655,6022
2016-03-31,"01104","MA","Springfield","Hampden","Springfield",5278,1257,0.0328677074774035,0.0492487479131886,0.0466278101582015,5862
2016-03-31,"34234","FL","North Port-Sarasota-Bradenton, FL","Sarasota","Sarasota",5279,1343,0.00825825825825826,-0.00958702064896755,-0.0502121640735502,6705
2016-03-31,"29360","SC","Greenville","Laurens","Laurens",5280,1017,0.0149700598802395,0.0119402985074627,0.0671563483735572,4301
2016-03-31,"49001","MI","Kalamazoo","Kalamazoo","Kalamazoo",5281,854,0.00470588235294118,0.0130486358244365,-0.0458100558659218,7450
2016-03-31,"35749","AL","Huntsville","Madison","Harvest",5282,1186,-0.00419815281276238,-0.00586756077116513,0.0385288966725044,8114
2016-03-31,"45102","OH","Cincinnati","Clermont","Amelia",5283,1293,0.00310318076027929,0.00388198757763975,0.0149136577708006,6722
2016-03-31,"98074","WA","Seattle","King","Sammamish",5284,2816,0.00284900284900285,0.0111310592459605,0.0927435001940241,9483
2016-03-31,"33916","FL","Fort Myers","Lee","Fort Myers",5285,1097,0.0148011100832562,0.0242763772175537,0.113705583756345,7844
